2017年度年齢別風疹抗体保有状況：男性＋女性（※2018年5月現在暫定値）,,,,,,,,,,,,,2017年度年齢別風疹抗体保有状況：男性（※2018年5月現在暫定値）,,,,,,,,,,,,,2017年度年齢別風疹抗体保有状況：女性（※2018年5月現在暫定値）,,,,,,,,,,,
,,HI抗体価,,,,,,,,,,,,,HI抗体価,,,,,,,,,,,,,HI抗体価,,,,,,,,,
年齢,合計,<8,8,16,32,64,128,256,512,1024-,≧8抗体保有率（%）,,年齢,合計,<8,8,16,32,64,128,256,512,1024-,≧8抗体保有率（%）,,年齢,合計,<8,8,16,32,64,128,256,512,1024-,≧8抗体保有率（%）
合計,5656,508,214,661,1193,1275,948,568,209,80,91,,合計,2886,349,113,339,586,588,483,272,115,41,87.9,,合計,2770,159,101,322,607,687,465,296,94,39,94.3
0-5M,24,10,3,7,0,3,1,0,0,0,58.3,,0-5M,16,8,2,4,0,2,0,0,0,0,50,,0-5M,8,2,1,3,0,1,1,0,0,0,75
6-11M,56,50,1,3,2,0,0,0,0,0,10.7,,6-11M,31,27,1,1,2,0,0,0,0,0,12.9,,6-11M,25,23,0,2,0,0,0,0,0,0,8
1,208,51,16,19,23,28,21,33,13,4,75.5,,1,108,25,7,11,13,17,13,12,7,3,76.9,,1,100,26,9,8,10,11,8,21,6,1,74
2,145,18,10,10,17,30,30,26,2,2,87.6,,2,76,8,6,5,8,15,17,14,2,1,89.5,,2,69,10,4,5,9,15,13,12,0,1,85.5
3,112,11,4,15,25,27,19,9,2,0,90.2,,3,60,5,2,10,17,13,8,4,1,0,91.7,,3,52,6,2,5,8,14,11,5,1,0,88.5
4,81,8,3,11,17,20,13,7,2,0,90.1,,4,52,8,3,6,11,10,9,5,0,0,84.6,,4,29,0,0,5,6,10,4,2,2,0,100
5,107,6,7,18,23,26,16,10,1,0,94.4,,5,58,3,3,11,11,15,7,7,1,0,94.8,,5,49,3,4,7,12,11,9,3,0,0,93.9
6,102,6,4,8,20,31,23,8,2,0,94.1,,6,55,4,4,6,12,15,9,5,0,0,92.7,,6,47,2,0,2,8,16,14,3,2,0,95.7
7,80,6,2,12,13,30,12,5,0,0,92.5,,7,40,2,1,10,6,12,7,2,0,0,95,,7,40,4,1,2,7,18,5,3,0,0,90
8,52,0,2,15,15,11,7,2,0,0,100,,8,28,0,2,8,10,3,3,2,0,0,100,,8,24,0,0,7,5,8,4,0,0,0,100
9,79,2,4,16,19,17,15,5,1,0,97.5,,9,43,1,4,9,12,7,6,4,0,0,97.7,,9,36,1,0,7,7,10,9,1,1,0,97.2
10,99,5,3,20,37,23,10,1,0,0,94.9,,10,51,4,2,10,19,10,6,0,0,0,92.2,,10,48,1,1,10,18,13,4,1,0,0,97.9
11,68,2,6,12,25,13,4,4,1,1,97.1,,11,31,1,1,6,14,4,1,3,1,0,96.8,,11,37,1,5,6,11,9,3,1,0,1,97.3
12,101,3,7,23,36,20,8,4,0,0,97,,12,48,1,1,12,18,9,4,3,0,0,97.9,,12,53,2,6,11,18,11,4,1,0,0,96.2
13,114,9,3,24,32,27,14,4,1,0,92.1,,13,56,6,1,13,15,8,9,3,1,0,89.3,,13,58,3,2,11,17,19,5,1,0,0,94.8
14,45,0,1,9,18,13,3,1,0,0,100,,14,22,0,0,5,8,5,3,1,0,0,100,,14,23,0,1,4,10,8,0,0,0,0,100
15,120,14,8,27,38,22,8,3,0,0,88.3,,15,61,6,4,18,20,8,4,1,0,0,90.2,,15,59,8,4,9,18,14,4,2,0,0,86.4
16,100,4,10,20,35,18,8,4,1,0,96,,16,57,3,5,13,20,8,5,3,0,0,94.7,,16,43,1,5,7,15,10,3,1,1,0,97.7
17,47,1,5,7,17,12,4,0,1,0,97.9,,17,33,1,4,7,9,9,2,0,1,0,97,,17,14,0,1,0,8,3,2,0,0,0,100
18,129,0,3,19,40,45,14,6,1,1,100,,18,60,0,1,10,19,16,8,4,1,1,100,,18,69,0,2,9,21,29,6,2,0,0,100
19,123,4,4,13,33,28,23,10,5,3,96.7,,19,49,4,1,8,14,9,7,1,3,2,91.8,,19,74,0,3,5,19,19,16,9,2,1,100
20,103,3,2,16,34,29,16,2,1,0,97.1,,20,53,2,2,8,10,19,10,2,0,0,96.2,,20,50,1,0,8,24,10,6,0,1,0,98
21,94,3,8,16,22,27,13,3,1,1,96.8,,21,57,2,7,10,11,16,8,1,1,1,96.5,,21,37,1,1,6,11,11,5,2,0,0,97.3
22,90,1,1,14,33,24,13,4,0,0,98.9,,22,46,1,1,6,17,12,6,3,0,0,97.8,,22,44,0,0,8,16,12,7,1,0,0,100
23,127,7,3,23,40,29,19,5,1,0,94.5,,23,55,5,2,11,16,13,7,0,1,0,90.9,,23,72,2,1,12,24,16,12,5,0,0,97.2
24,118,6,8,20,33,28,16,5,2,0,94.9,,24,65,4,7,12,18,13,7,2,2,0,93.8,,24,53,2,1,8,15,15,9,3,0,0,96.2
25,104,4,3,17,28,25,16,7,4,0,96.2,,25,39,2,0,3,8,12,8,3,3,0,94.9,,25,65,2,3,14,20,13,8,4,1,0,96.9
26,106,0,4,11,31,33,12,13,1,1,100,,26,42,0,1,6,10,10,5,10,0,0,100,,26,64,0,3,5,21,23,7,3,1,1,100
27,97,7,5,17,21,26,13,7,1,0,92.8,,27,50,4,4,9,12,11,7,2,1,0,92,,27,47,3,1,8,9,15,6,5,0,0,93.6
28,126,9,7,20,31,34,16,5,4,0,92.9,,28,61,7,3,14,14,14,6,1,2,0,88.5,,28,65,2,4,6,17,20,10,4,2,0,96.9
29,100,10,7,18,23,15,11,10,5,1,90,,29,59,6,3,10,17,7,6,6,4,0,89.8,,29,41,4,4,8,6,8,5,4,1,1,90.2
30,102,11,3,10,19,25,20,12,0,2,89.2,,30,52,6,1,5,10,12,7,9,0,2,88.5,,30,50,5,2,5,9,13,13,3,0,0,90
31,105,6,6,12,14,23,24,12,7,1,94.3,,31,50,5,3,4,8,10,14,3,3,0,90,,31,55,1,3,8,6,13,10,9,4,1,98.2
32,104,11,1,2,26,23,23,11,6,1,89.4,,32,64,8,1,1,12,14,17,7,3,1,87.5,,32,40,3,0,1,14,9,6,4,3,0,92.5
33,117,3,1,10,16,29,29,23,5,1,97.4,,33,64,2,0,6,6,20,14,11,5,0,96.9,,33,53,1,1,4,10,9,15,12,0,1,98.1
34,104,7,1,4,15,28,26,17,6,0,93.3,,34,58,3,1,3,8,16,16,6,5,0,94.8,,34,46,4,0,1,7,12,10,11,1,0,91.3
35,91,4,3,3,19,25,16,12,4,5,95.6,,35,45,3,3,1,10,10,7,6,3,2,93.3,,35,46,1,0,2,9,15,9,6,1,3,97.8
36,106,3,6,7,21,19,27,16,5,2,97.2,,36,55,3,1,2,10,10,15,7,5,2,94.5,,36,51,0,5,5,11,9,12,9,0,0,100
37,102,14,1,6,17,24,22,14,4,0,86.3,,37,47,12,1,4,6,7,11,4,2,0,74.5,,37,55,2,0,2,11,17,11,10,2,0,96.4
38,111,17,7,5,18,17,21,17,8,1,84.7,,38,60,17,4,1,8,7,9,8,6,0,71.7,,38,51,0,3,4,10,10,12,9,2,1,100
39,87,6,0,5,16,16,17,15,10,2,93.1,,39,48,5,0,2,10,9,9,8,5,0,89.6,,39,39,1,0,3,6,7,8,7,5,2,97.4
40,73,6,2,5,7,20,20,9,0,4,91.8,,40,34,6,1,1,4,5,10,6,0,1,82.4,,40,39,0,1,4,3,15,10,3,0,3,100
41,79,8,3,5,7,19,17,11,6,3,89.9,,41,40,7,2,0,4,10,9,3,2,3,82.5,,41,39,1,1,5,3,9,8,8,4,0,97.4
42,65,1,0,6,11,13,18,9,5,2,98.5,,42,29,1,0,1,3,5,12,4,3,0,96.6,,42,36,0,0,5,8,8,6,5,2,2,100
43,81,13,2,4,14,15,18,13,1,1,84,,43,43,12,0,1,4,9,12,4,1,0,72.1,,43,38,1,2,3,10,6,6,9,0,1,97.4
44,70,8,0,10,8,18,13,6,6,1,88.6,,44,34,7,0,4,3,10,3,2,4,1,79.4,,44,36,1,0,6,5,8,10,4,2,0,97.2
45,55,6,0,3,7,13,17,5,4,0,89.1,,45,30,6,0,0,3,6,10,3,2,0,80,,45,25,0,0,3,4,7,7,2,2,0,100
46,62,10,1,6,15,8,13,2,5,2,83.9,,46,26,9,0,1,6,0,8,2,0,0,65.4,,46,36,1,1,5,9,8,5,0,5,2,97.2
47,75,13,0,6,10,16,14,10,5,1,82.7,,47,38,12,0,2,4,9,6,3,2,0,68.4,,47,37,1,0,4,6,7,8,7,3,1,97.3
48,72,9,1,6,12,14,16,7,6,1,87.5,,48,30,6,0,1,5,5,8,3,1,1,80,,48,42,3,1,5,7,9,8,4,5,0,92.9
49,62,2,1,8,13,10,10,10,6,2,96.8,,49,31,2,1,0,8,6,6,5,2,1,93.5,,49,31,0,0,8,5,4,4,5,4,1,100
50,74,5,1,4,16,14,14,16,4,0,93.2,,50,30,5,0,0,6,6,6,7,0,0,83.3,,50,44,0,1,4,10,8,8,9,4,0,100
51,44,7,0,4,3,15,9,3,1,2,84.1,,51,17,3,0,1,1,6,4,2,0,0,82.4,,51,27,4,0,3,2,9,5,1,1,2,85.2
52,75,11,1,3,11,20,12,5,10,2,85.3,,52,39,10,1,2,5,9,5,3,4,0,74.4,,52,36,1,0,1,6,11,7,2,6,2,97.2
53,70,9,0,5,10,14,10,16,4,2,87.1,,53,34,9,0,2,3,5,3,8,3,1,73.5,,53,36,0,0,3,7,9,7,8,1,1,100
54,67,9,3,6,4,10,18,13,2,2,86.6,,54,33,9,1,3,3,2,8,7,0,0,72.7,,54,34,0,2,3,1,8,10,6,2,2,100
55,57,5,1,2,4,13,13,10,5,4,91.2,,55,30,3,0,2,2,6,5,7,2,3,90,,55,27,2,1,0,2,7,8,3,3,1,92.6
56,54,3,2,3,10,10,9,10,4,3,94.4,,56,23,1,1,0,4,6,2,6,2,1,95.7,,56,31,2,1,3,6,4,7,4,2,2,93.5
57,58,8,2,1,6,16,7,11,4,3,86.2,,57,27,5,1,1,2,6,4,4,2,2,81.5,,57,31,3,1,0,4,10,3,7,2,1,90.3
58,46,6,1,3,8,9,11,4,3,1,87,,58,28,4,0,2,3,8,6,1,3,1,85.7,,58,18,2,1,1,5,1,5,3,0,0,88.9
59,40,4,1,3,5,7,9,7,4,0,90,,59,18,2,1,1,2,3,5,1,3,0,88.9,,59,22,2,0,2,3,4,4,6,1,0,90.9
60,41,5,1,1,5,10,9,3,3,4,87.8,,60,22,4,1,1,4,4,5,1,1,1,81.8,,60,19,1,0,0,1,6,4,2,2,3,94.7
61,46,5,1,2,5,7,13,8,2,3,89.1,,61,28,4,1,1,4,4,7,4,0,3,85.7,,61,18,1,0,1,1,3,6,4,2,0,94.4
62,44,6,1,1,10,9,8,6,2,1,86.4,,62,21,4,0,0,4,6,3,2,2,0,81,,62,23,2,1,1,6,3,5,4,0,1,91.3
63,30,1,0,3,6,4,7,5,3,1,96.7,,63,26,1,0,2,4,4,6,5,3,1,96.2,,63,4,0,0,1,2,0,1,0,0,0,100
64,20,1,1,1,4,3,3,4,1,2,95,,64,14,1,0,1,4,1,3,2,0,2,92.9,,64,6,0,1,0,0,2,0,2,1,0,100
65,24,1,1,3,4,7,5,0,2,1,95.8,,65,13,0,0,1,3,3,3,0,2,1,100,,65,11,1,1,2,1,4,2,0,0,0,90.9
66,20,0,3,2,3,5,4,3,0,0,100,,66,11,0,2,2,2,1,3,1,0,0,100,,66,9,0,1,0,1,4,1,2,0,0,100
67,10,0,0,2,3,3,1,1,0,0,100,,67,8,0,0,2,2,2,1,1,0,0,100,,67,2,0,0,0,1,1,0,0,0,0,100
68,12,0,1,3,0,5,0,2,1,0,100,,68,5,0,0,1,0,3,0,1,0,0,100,,68,7,0,1,2,0,2,0,1,1,0,100
69,18,2,0,5,6,0,2,2,0,1,88.9,,69,12,2,0,2,5,0,1,1,0,1,83.3,,69,6,0,0,3,1,0,1,1,0,0,100
70-,26,2,0,1,4,5,5,5,2,2,92.3,,70-,7,0,0,0,0,1,2,0,2,2,100,,70-,19,2,0,1,4,4,3,5,0,0,89.5
